iter	Passed	Remaining
0	133	133750
1	135	67786
2	137	45680
3	139	34789
4	140	27939
5	142	23530
6	143	20376
7	145	18043
8	147	16259
9	150	14935
10	151	13649
11	153	12646
12	154	11756
13	156	11006
14	157	10324
15	158	9721
16	159	9217
17	160	8779
18	162	8387
19	163	8004
20	164	7669
21	165	7350
22	166	7082
23	168	6834
24	168	6587
25	170	6382
26	171	6180
27	172	5998
28	173	5825
29	175	5672
30	176	5516
31	177	5377
32	179	5246
33	180	5116
34	181	4993
35	182	4874
36	183	4763
37	183	4655
38	184	4548
39	185	4447
40	186	4353
41	187	4265
42	187	4179
43	188	4095
44	189	4015
45	189	3937
46	190	3864
47	191	3794
48	191	3724
49	192	3662
50	193	3600
51	194	3538
52	194	3476
53	195	3418
54	195	3362
55	196	3308
56	196	3254
57	197	3202
58	197	3152
59	198	3104
60	198	3057
61	199	3011
62	199	2967
63	199	2924
64	200	2883
65	200	2843
66	201	2803
67	201	2766
68	202	2732
69	202	2696
70	203	2661
71	203	2626
72	204	2593
73	204	2561
74	205	2530
75	205	2500
76	206	2470
77	206	2441
78	206	2413
79	207	2385
80	207	2359
81	208	2333
82	208	2305
83	209	2280
84	209	2256
85	210	2232
86	210	2209
87	210	2186
88	211	2163
89	211	2142
90	212	2120
91	212	2099
92	213	2080
93	213	2060
94	214	2041
95	214	2022
96	215	2003
97	215	1984
98	216	1966
99	216	1949
100	217	1932
101	217	1915
102	217	1898
103	218	1882
104	218	1866
105	219	1850
106	219	1834
107	220	1820
108	220	1805
109	221	1791
110	221	1777
111	222	1762
112	222	1748
113	223	1735
114	223	1722
115	224	1709
116	224	1695
117	225	1682
118	225	1669
119	225	1656
120	226	1644
121	226	1631
122	227	1619
123	227	1607
124	228	1596
125	228	1584
126	228	1572
127	229	1561
128	229	1551
129	230	1540
130	230	1530
131	231	1520
132	231	1509
133	232	1499
134	232	1489
135	232	1480
136	233	1470
137	233	1461
138	234	1451
139	234	1442
140	235	1432
141	235	1422
142	235	1413
143	236	1405
144	237	1397
145	237	1389
146	237	1380
147	238	1372
148	238	1365
149	239	1357
150	240	1349
151	240	1341
152	241	1334
153	241	1327
154	242	1319
155	242	1312
156	243	1305
157	243	1298
158	244	1290
159	244	1283
160	244	1275
161	245	1268
162	245	1261
163	246	1254
164	246	1247
165	247	1241
166	247	1234
167	247	1227
168	248	1221
169	248	1214
170	249	1208
171	249	1201
172	250	1195
173	250	1189
174	250	1183
175	251	1177
176	251	1171
177	252	1165
178	252	1159
179	253	1153
180	253	1147
181	254	1142
182	254	1137
183	255	1132
184	255	1126
185	256	1121
186	256	1116
187	257	1110
188	257	1105
189	258	1100
190	258	1094
191	258	1089
192	259	1084
193	259	1079
194	260	1074
195	260	1069
196	261	1064
197	261	1060
198	262	1055
199	262	1050
200	262	1045
201	263	1040
202	263	1035
203	264	1031
204	264	1026
205	265	1022
206	265	1017
207	266	1013
208	266	1008
209	266	1004
210	267	999
211	267	995
212	268	991
213	268	986
214	269	982
215	269	979
216	270	975
217	270	971
218	271	967
219	271	963
220	272	959
221	272	955
222	272	951
223	273	947
224	273	943
225	274	939
226	274	936
227	275	932
228	275	928
229	276	924
230	276	920
231	277	917
232	277	913
233	277	909
234	278	906
235	278	902
236	279	899
237	279	895
238	280	892
239	280	888
240	281	885
241	281	882
242	282	878
243	282	875
244	282	871
245	283	868
246	283	865
247	284	861
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	843
254	287	840
255	288	837
256	288	834
257	288	831
258	289	828
259	289	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
266	292	804
267	293	801
268	293	798
269	294	795
270	294	792
271	295	790
272	295	787
273	296	784
274	296	781
275	296	778
276	297	776
277	297	773
278	298	770
279	298	768
280	299	765
281	299	762
282	300	760
283	300	758
284	301	755
285	301	753
